Salary,Age,Name_Alexander,Name_Andrew,Name_Ava,Name_Avery,Name_Benjamin,Name_Christopher,Name_Daniel,Name_David,Name_Emily,Name_Emma,Name_Ethan,Name_Grace,Name_Isabella,Name_James,Name_John,Name_Madison,Name_Matthew,Name_Mia,Name_Michael,Name_Nicholas,Name_Olivia,Name_Sophia,Name_Sophie,Name_William,Second Name_Brown,Second Name_Davis,Second Name_Garcia,Second Name_Harris,Second Name_Jackson,Second Name_Johnson,Second Name_Jones,Second Name_Lopez,Second Name_Martin,Second Name_Martinez,Second Name_Miller,Second Name_Moore,Second Name_Smith,Second Name_Taylor,Second Name_Thomas,Second Name_Thompson,Second Name_White,Second Name_Williams,Second Name_Wilson,City_Beijing,City_Berlin,City_Cape Town,City_Chicago,City_Dublin,City_Mumbai,City_San Francisco,City_Seattle,City_Seoul,City_Singapore,City_Sydney,City_Tokyo,City_Toronto,Vacation Preference_Festival,Vacation Preference_Food tour,Vacation Preference_Golf retreat,Vacation Preference_Historical sightseeing,Vacation Preference_Mountain hiking,Vacation Preference_Relaxation spa,Vacation Preference_Safari,Transport Preference_cruise ship,Transport Preference_plane,Transport Preference_train,Target Destination_Dubai,Target Destination_New York,Target Destination_Paris,Target Destination_Tokyo
51166,42,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
86411,65,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
45888,27,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
82726,34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
50375,31,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
82051,44,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
54376,55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
46287,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
78102,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
56651,50,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
